Nested Sampling Global Log-Evidence           :   -0.751933583606967737E+01  +/-    0.617732763725925768E-01
Nested Importance Sampling Global Log-Evidence:   -0.807738777961721865E+01  +/-    0.100000587690969207E-01

Dim No.       Mean        Sigma
   1    0.170152793180598505E+00    0.370852536686820805E-01
   2    0.866972320192915480E+00    0.668186106089456167E-01
   3    0.225668382672449958E-01    0.201852866908145421E-02
   4    0.972534142653373901E+00    0.750761514389947787E-01
   5    0.722973650258035505E+00    0.329047045909769617E-01
   6    0.366285248340432912E+00    0.435658044185559257E-01
   7    0.785904103231655604E+00    0.447801322338520977E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.145338964620627564E+00
   2    0.852536517267914240E+00
   3    0.191615499610720032E-01
   4    0.907478637090468054E+00
   5    0.683555313963740807E+00
   6    0.353441207676965519E+00
   7    0.784947448948923543E+00

MAP Parameters
Dim No.        Parameter
   1    0.193340885269903534E+00
   2    0.853116262998359187E+00
   3    0.225308061476560788E-01
   4    0.990931724975548489E+00
   5    0.733155606185702524E+00
   6    0.402807296823696648E+00
   7    0.735930684272138591E+00
