    0.134284213256095297E+00    0.793594224406787063E+00    0.245337996697575951E-01    0.919625015515118882E+00    0.743595493924627315E+00    0.976328071641572176E-01    0.100014510010297764E+00    0.213973462473506133E-01    0.909287438070040421E+00    0.717422435978076645E+00    0.247186705995884992E+00    0.270708905779241249E+01   -0.811542462751501215E+00   -0.730991104845659656E+00    0.148057153339704772E+01    0.987342407501795138E+00   -0.129666601392501435E+01   -0.783620588232596135E-07    0.288392600662635001E+00    0.809525679848177360E+00    0.232514985686240988E+00    0.113626173772255465E+00   -0.144792778503927224E+03
    0.909133370032528809E-01    0.631967571370160353E+00    0.257509844478354157E-01    0.103860908197840462E+01    0.655578090143963177E+00    0.150807367105748796E+00    0.850167305934140249E+00    0.212183485429793435E-01    0.858514107391444625E+00    0.792526818093387764E+00    0.124868847850574305E+01    0.260251756612668528E+01   -0.240225088305868395E+01    0.765673746284534218E-01    0.730813042125225465E+00    0.188237012374311985E+01   -0.330134387233260096E+01    0.693507649289730362E-07    0.272948343055609166E+00    0.662664815178415800E+00    0.274908761589016115E+00    0.888251833986360539E+00   -0.143244606400067312E+03
    0.224523025084672978E+00    0.842918796162299477E+00    0.222945345202508402E-01    0.902944547236637862E+00    0.711195317179444841E+00    0.160135482325656497E+00    0.112559531360097931E+01    0.243100279269981567E-01    0.990507546597761634E+00    0.740019556709144322E+00    0.499968053372734644E-01    0.312962488342101786E+01    0.754308004120473719E+00   -0.232732695467454287E+00    0.786381084157858901E+00    0.259582744598647519E+01   -0.192396453971322146E+01    0.146994252333039842E-06    0.489249293780512962E+00    0.660233163947840374E+00    0.337983680515886675E+00    0.106084991699333453E+01   -0.143037307863447182E+03
    0.171156615370641835E+00    0.976327807629855715E+00    0.198027505675860103E-01    0.880091374014609573E+00    0.812588334791409128E+00    0.823041708337639566E-01    0.637701546514526596E+00    0.215832406583967157E-01    0.948434036587275431E+00    0.740184423598941654E+00    0.115468401824042388E+00    0.284787575737885934E+01    0.452481163286262283E-01    0.297665025972206676E+00    0.148654796738355599E+01    0.154161004190949802E+01   -0.208859921424198403E+01    0.345197857533728830E-07    0.290176524826322169E+00    0.993018102339287112E+00    0.190795222673773801E+00    0.799794947159618297E+00   -0.142986513216573343E+03
    0.145840561561893345E+00    0.749239185783966311E+00    0.251039905715833254E-01    0.920750487786876959E+00    0.669114613915750334E+00    0.138158956808437983E+00    0.478948579787939810E+00    0.248229903428468963E-01    0.857533178759714687E+00    0.722971852667449899E+00   -0.534112959500674833E+00    0.229871022273631143E+01   -0.758505577891887328E+00   -0.117867405346780796E+01    0.581444961259827808E+00    0.117671033958196536E+01    0.361487764529444089E+00    0.678526122900827788E-07    0.383254817924416236E+00    0.662968568272119918E+00    0.313047150917051598E+00    0.468912575204910087E+00   -0.142648400153075158E+03
    0.167836690369161601E+00    0.998675763842246433E+00    0.233110924227561203E-01    0.855578873321470534E+00    0.668484429814449110E+00    0.983677639719307551E-01    0.834690799274473538E+00    0.245291608102466384E-01    0.870386321702897425E+00    0.789652976690672803E+00    0.540010820956172921E+00    0.275907772069730983E+01    0.146709054212352874E+01   -0.845793656661457116E-01    0.178546907407286293E+00    0.120913119348467979E+01   -0.182143277617733013E+01    0.887574188279576192E-07    0.429188139076936925E+00    0.835164366680429482E+00    0.198124768479671254E+00    0.102728611803065895E+01   -0.142235760376718872E+03
    0.142589358028217345E+00    0.998252231806981860E+00    0.229085678696206024E-01    0.935247472619761488E+00    0.707642353227812659E+00    0.875438433851704195E-01    0.310780395452785241E+00    0.235035472560978995E-01    0.948716966818273333E+00    0.757583797269482107E+00   -0.941001088679998432E+00    0.224206785198928493E+01    0.384415151485030859E+00   -0.100168802542049806E+01    0.532096738848160111E-01    0.725670246901342741E+00   -0.223140211629622298E+01    0.251170356991874529E-07    0.331781342101466648E+00    0.949359771568087374E+00    0.194607185331798604E+00    0.385941268410378735E+00   -0.142209227496159713E+03
    0.164032091151913473E+00    0.620859742219134203E+00    0.201707673608278286E-01    0.846832616289721618E+00    0.718590740924691551E+00    0.200107136664508939E+00    0.105837014610724967E+01    0.223076033869572081E-01    0.946873050853141662E+00    0.653023119203028579E+00    0.998379727662666028E+00    0.240612351989411444E+01    0.846764522162893662E+00   -0.209656691209647583E-02    0.270493576353139531E+01    0.145842136563813640E+01   -0.176157068198267108E+01   -0.139221431514150354E-07    0.357972083460040003E+00    0.568432023197422698E+00    0.523073110964219268E+00    0.801717652486067633E+00   -0.142182841949746830E+03
    0.162577610912789106E+00    0.694082095998966420E+00    0.237515414879346971E-01    0.107461341937471055E+01    0.760672051421057871E+00    0.165603867519384079E+00    0.413508218517611548E+00    0.239826007379814986E-01    0.107324080946658507E+01    0.768060028289138219E+00   -0.519246936855477514E-01    0.250303182781920786E+01   -0.302637679653729785E+00    0.982597954581071908E+00   -0.418951536852089745E+00    0.253810904515891966E+01   -0.186922220003031869E+01    0.159420121743825526E-07    0.323135480604124559E+00    0.669072965767861905E+00    0.322470550707227521E+00    0.399020595141966750E+00   -0.141891250737387253E+03
    0.216450973132972763E+00    0.893896807751239364E+00    0.207481914462102450E-01    0.867403762857009597E+00    0.794254022477268729E+00    0.141630586820215509E+00    0.465135833358964246E+00    0.241093243461906817E-01    0.943614255380028188E+00    0.816232121759747131E+00    0.643048977178312775E+00    0.232973715539151494E+01   -0.655491783541030548E+00   -0.389317574754181772E+00    0.104123550165639633E+01    0.280597327356435633E+01   -0.205810651756918972E+01   -0.361223166928957469E-07    0.377026673973274273E+00    0.797638558906514028E+00    0.249737822073128835E+00    0.509908745740357272E+00   -0.141779145881189663E+03
    0.177832401602134121E+00    0.624013834689182811E+00    0.237345382052185361E-01    0.842448872863219900E+00    0.808624901920771744E+00    0.211434888089794715E+00    0.861611620442937487E+00    0.254423443848788948E-01    0.991511326141672700E+00    0.735831629733115111E+00    0.880470093524101216E+00    0.219232586706998323E+01   -0.596156212480372982E+00    0.287213855991560296E+00    0.573775877143128388E+00    0.199200758053200522E+01   -0.661261736861831873E+00   -0.626311761711509380E-07    0.309250717970370292E+00    0.614774676005929499E+00    0.438677926977952160E+00    0.712801215170232871E+00   -0.141486847347369093E+03
