    0.116769441879786051E+00    0.820647249563696279E+00    0.234599012253189632E-01    0.963403893925579013E+00    0.673049761534986191E+00    0.834288148160885257E+00    0.291546681815235065E+01   -0.108397288041743534E+01    0.485090031263221866E+00    0.123148634171569560E+01    0.257854080218307580E+01   -0.193864221280491367E+01    0.310981741031919834E+00    0.806134639541064013E+00   -0.944320907043084077E+02
    0.110832746075035266E+00    0.744974819471075911E+00    0.212375316785172394E-01    0.962691346828300265E+00    0.682107608990851877E+00    0.442964708711169664E+00    0.285443853868761099E+01   -0.128770855303469967E+01    0.639521178114912159E+00    0.104104951767211129E+01    0.297196503030565218E+01   -0.155035919742526618E+00    0.285241232502734920E+00    0.764121535128410523E+00   -0.915563143400073756E+02
    0.105429573985536790E+00    0.724088939970316425E+00    0.202232356683121582E-01    0.973854168516055885E+00    0.691279386766760151E+00    0.874297833666705770E+00    0.265563087395284514E+01   -0.110555837528332734E+01    0.108558200264715876E+01   -0.602276385633933042E+00    0.723950010342568562E+00   -0.237090943699794998E+01    0.264292983593430453E+00    0.771594040060377573E+00   -0.915479795978362034E+02
    0.108713411917558844E+00    0.715843946788097263E+00    0.223365754400380034E-01    0.971288222654906774E+00    0.696143025223044165E+00    0.442604361849058492E+00    0.276072186064078595E+01    0.326846978747863781E+00    0.204930709553926865E+00   -0.146342339147711442E-01    0.228814426937276938E+01   -0.249339913557991633E+01    0.271749931269771150E+00    0.752261412561444409E+00   -0.904571622617613684E+02
    0.113143414492442140E+00    0.766273499912254907E+00    0.232175548764754422E-01    0.980223679185047492E+00    0.686451245652235253E+00    0.347665645758983288E+00    0.230055398871647432E+01   -0.836178667613780013E+00    0.785660141538732315E+00    0.202518248458158423E+01   -0.434568156008281248E+00   -0.837741583041277549E+00    0.290748414985065429E+00    0.778489529267314961E+00   -0.900975826721015949E+02
    0.114948613951871448E+00    0.770502624937175584E+00    0.259709605501171024E-01    0.963678598384422713E+00    0.701346010344885196E+00    0.193806217496002819E+01    0.251459478474503584E+01   -0.572672476176365630E+00   -0.279290694888147562E+00    0.182549182350553707E+01    0.101714170788358338E+01   -0.123021802181361228E+01    0.287797671203121885E+00    0.786785712027088358E+00   -0.898699187599812177E+02
    0.112609369861310121E+00    0.765379582636859124E+00    0.223210096085588588E-01    0.976571268567299366E+00    0.679288613375704231E+00    0.904902400799625362E+00    0.277935063979506802E+01    0.102108265516738927E+01   -0.546548534757442139E+00    0.607236581991732471E-01    0.194987436654260504E+01   -0.753431394128694754E+00    0.293811906429816527E+00    0.773513477350320278E+00   -0.897806045233632517E+02
    0.111657008166954813E+00    0.734753579477116614E+00    0.246306826217570426E-01    0.966064593750528333E+00    0.699428836303655821E+00    0.144905468992888586E+00    0.249333141523084567E+01   -0.123461439722908461E+01   -0.157882034456248987E+00    0.108681046179235286E+01    0.199028281223457393E+01   -0.198080178709077170E+01    0.279909304129214553E+00    0.760786685291549580E+00   -0.896911961076702511E+02
    0.112644141719157778E+00    0.748613922919338926E+00    0.244469766899230861E-01    0.978617808403009048E+00    0.698350082757404067E+00    0.134767008440362979E+01    0.272442179701908849E+01    0.455165531020243430E+00    0.948983676652778385E+00    0.752819569477692130E+00    0.139870870228750244E+01   -0.333628222667780960E+01    0.282422138599003170E+00    0.771684232325446362E+00   -0.895814088344984611E+02
    0.108899714472707299E+00    0.762815621863222604E+00    0.205787362169283575E-01    0.963524067190634881E+00    0.683661246332765926E+00    0.147246226130399371E+01    0.293566403144793409E+01    0.319499579227808139E+00   -0.381025323600141130E+00    0.666217243046207108E+00    0.124964520154416103E+01   -0.164374454306819029E+01    0.278400982013035037E+00    0.791980866996144339E+00   -0.894942665081855750E+02
