Nested Sampling Global Log-Evidence           :   -0.412945556864820862E+01  +/-    0.559583726121743175E-01
Nested Importance Sampling Global Log-Evidence:   -0.525641476004504238E+01  +/-    0.677714605876171203E-02

Dim No.       Mean        Sigma
   1    0.890833868417355429E-01    0.151589766511202716E-01
   2    0.335692841123187025E+01    0.948854920841071814E+00
   3    0.225523246460055324E-01    0.215735630685407430E-02
   4    0.999683578274367268E+00    0.175199866023196593E+00
   5    0.752936784043891083E+00    0.397140474064650098E-01
   6    0.200939624066972633E+00    0.429451243934071622E-01
   7    0.889194540216601381E+00    0.437804247745089636E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.853409443688596669E-01
   2    0.418826264223751821E+01
   3    0.204520230060271889E-01
   4    0.755471462280158601E+00
   5    0.741154937235756206E+00
   6    0.193764866972452460E+00
   7    0.109162807043628085E+01

MAP Parameters
Dim No.        Parameter
   1    0.979752606024520273E-01
   2    0.371890047051358774E+01
   3    0.240797116877992899E-01
   4    0.118668940035909154E+01
   5    0.797305432312917839E+00
   6    0.193015399470161886E+00
   7    0.110596121550646287E+01
